Comment,Location 1,Location 2,Location 3
যাইহোক এই মন্ত্রণালয়ে কেও ঘেরাও দিতো না,Dhaka,,
"""সময়মত সংসদে পৌছাতে না পারা ছেলেটাও এখন মন্ত্রনালয় চালাবে, ভাবা যায়""",নীলফামারী,Dhaka,Nilphamari
সেরা,Dhaka,,
ও কি মন্ত্রী হওয়ার যোগ্য?,Sylhet,Habiganj,
সবাই এত খুশি হইছে যে সবাই হা হা করতেছে,Dhaka,Barisal,
এক ঠ্যালায় এতো দূর,Barisal,Pirojpur,
ঘেরাও বিষয়ক মন্ত্রী,Dhaka,,
"""যায়গামত দিছে বিম্পি সঠিক যায়গা সঠিক মাল, এবার মুক্তিযুদ্ধ নতুন ভাবে লিখা হবে""",Dhaka,Mymensingh,
ফুলের তোড়া দিতে আর ধাক্কা ধাক্কির প্রয়োজন নেই!,Dhaka,Sylhet,
দেশের হোগাম্রা শেষ...,Dhaka,,
প্রথমে চোখ পড়তেই প্রতিবন্ধী পড়ে ফেলছিলাম,Chittagong,,
Ai halare muktijuddhobisoyok dilo kon akkel e .onno montri hisebe dile mana jaito . advocate fazlur saheb k dile valo hoito:) …,Dhaka,Munshiganj,
ওনি কি মুক্তিযোদ্ধা। যখন কেউ না থাকবে তখন অন্য কথা।,Dhaka,Gazipur,
"""তো আরকি, এইবার বীর মুক্তিযোদ্ধা ইশরাকের নতুন দিগন্ত শুরু হবে। মুক্তিযুদ্ধ সম্পর্কে নতুন নতুন ইতিহাস প্রনায়ন করবে। এমনিতেই ইতি…""",Dhaka,Chittagong,Gazipur
অথচ বীর মুক্তিযোদ্ধা ফজলুর রহমান কে দিতে পারতো,Dhaka,,
সে যুদ্ধে গেছিল আমি তার সহযোদ্ধা ছিলাম গুলিতে তার বুকটা ছারখার হয়ে গেছিল এটা নিয়ে বিরোধ করলে রাজুতে ডাক দিব,Dhaka,,
সে তো সে সময় বাচ্চা ছিল। অবশ্যই এখানে বিএনপি'র এডভোকেট ফজলুর রহমানকে আনা উচিত,Dhaka,,
নিশ্চয়ই কেয়ামতের আগে অযোগ্য মানুষ বড় বড় সিংহাসনে বসবে। এতে হতাশ হওয়ার কিছুই নেই ভাই।,Dhaka,,
এরে দেখলে ক্যান জানি চাপড়াইতে মন চায়,Dhaka,,
"""tar mane betay kono kamera na, eda BNP o bujhche!""",Dhaka,,
জার জন্ন যুদ্ধের পরে সে আবার মুক্তিযুদ্ধ বিষয়ক হয় কেমনে,Dhaka,,
ভাই এর নামটা মুক্তিযোদ্ধা লিস্টে দেওয়া যায় না,Dhaka,,
ইয়ে আব কনসি চিরিয়া কা নাম হে বেটা ?,Dhaka,,
আর মানুষ পাইলো না,Dhaka,Kishoreganj,
Oke sweeper banano hok,Dhaka,,
আহ কি খুশিরে,Chittagong,,
@আল্লাহ সর্বশক্তিমান:তান্ত্রিক ওমর ফারুক কবিরাজ যে কোন সমস্যা থাকলে বল তত ইনশাল্লাহ স্বামী স্ত্রী অমিল প্রেম ভালোবাসা ব্যর্…,Dhaka,,
"""ইউজার অথবা মাস্টার একাউন্ট করতে যোগাযোগ করুন। সারা দেশে ৩০% কমিশনে মাস্টার এজেন্ট নিয়োগ, ১ টাকাও ইনবেস্ট করতে হবে না। …""",Dhaka,,
"""ভাগ্যভালো, চুমু শপি হয় নাই। …""",Dhaka,,
"""মেয়র হতে চেয়েছিলো, হয়ে গেলো প্রতিমন্ত্রী …""",Dhaka,Khulna,
I have a plan,Dhaka,,
কবে জানি নামের আগে বীর মুক্তিযোদ্ধা লাগায় দেয়,Narayanganj,,
Follo tu follo bak 100% garente,Dhaka,,
ইসরাক ভাই আমার বয়স ৩০ আমিও মুক্তিযুদ্ধ করছি ভাই আমাকে একটা ভাতা দেওয়ার ব্যবস্থা করিয়েন আমার পোলাপান জেনো কোডা পায়,Dhaka,,
যুদ্ধ নিয়ে সে কি বুঝে? তার কি তখন জন্ম হয়েছিল?!!!!!,Dhaka,,
ভাই ধাক্কা ধাক্কি আবার কবে করবেন?,Dhaka,,
গোয়া মারছে,Dhaka,Narsingdi,
Halr po ala,Chittagong,,
কিছু পর দেখবো ওর নাম মুক্তিযোদ্ধা লিস্টে সবার উপরে,Chittagong,Chandpur,
Klk dekben oni onar bap ma pola meya sob muktijoddha,Dhaka,Tangail,
Khaiya diche re muktijuddhare,বরিশাল,Barishal,Barisal
শেষ ধ্বংস,Dhaka,,
"""হা হা হা,,,,""",Chittagong,,
আলহামদুলিল্লাহ সুন্দরভাবে দেশ পরিচালনা করুন এটাই কাম্য,Dhaka,,
এই ও দেখা লাগলো বাঙালির,Dhaka,,
Nice pic,Dhaka,,
আচ্ছা কোন যুক্তিতে সে এই পদ পাইলো,Dhaka,,
ওরে ল্যাওড়া,Dhaka,,
ইতিহাসের বারোটা বাজিয়ে দিবে,Dhaka,Gazipur,Tangail
প্রতিমন্ত্রী কে প্রতিবন্ধী পরে পেলছি,Chittagong,,
কাম সারছে,Barisal,Bhola,
সবাই হাসে ক্যা,Dhaka,,
"""নিমডা দোজরাজ টেলমি, হারতাবুশ ক্রাকুইকিনইন বুমলাহ মহিনুজ্জুকু লো হাকুয়ে""",Dhaka,Rangpur,Bogura
খোকা পুত্র ইশরাক,Dhaka,Mymensingh,Sherpur
চলিতেসে সার্কাস,Sylhet,Moulvibazar,
প্রতিমন্ত্রী হিসেবে হেতের কাজ টা কি,Dhaka,Khulna,
হোগা মারা সারা,Dhaka,,
অভিনন্দন,Dhaka,Mymensingh,
আল্লাহরে এডা কি হইলো,Comilla,,
"""Bhai vlo korse, oy ar nogor daddyr jonno abedon k9rte parbo na""",Dhaka,Madaripur,
দেশের বারোটা বাজাইবে,Dhaka,,
"""হতে চাইলেন মেয়র, তাকে মন্ত্রী করা হয়েছে, এটা অন্যায়""",দিনাজপুর,,
আস্তাগফিরুল্লাহ!,Dhaka,,
স্বাধীনতার 53 বছর । দেশ প্রেমিক মুক্তিযোদ্ধারা দেশ চালানো দেশের মানুষের উচ্চ ও নিম্ন মান সেবা গুলো …,Narayanganj,,
একটা জিনিস বুজলাম না বিরোধীদলের কোনো এমপিকে মন্ত্রী পদে দেখলাম না,Dhaka,,
মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয় তো আগেই ছিল। এবার এটা জুলাই বিষয়ক মন্ত্রণালয় না বানায়!,Dhaka,,
আমি মনে হয় ইসরাক কে মুক্তি যুদ্ধ করতে দেখেছি আমার পাশেই ছিল,Dhaka,,
Masahallah,Dhaka,,
উনি তখন জন্মগ্রহণী করে নাই আর তাকে দিয়েছে মুক্তিযুদ্ধ বিষয়ক প্রতিমন্ত্রী । অন্য দপ্তর কি ছিল না?,Dhaka,Tangail,
কামার কে দিলো কুমারের কাজ,Dinajpur,,
কখন যে বলে বসে সেও মুক্তিযুদ্ধে কারন হাসিনা আমলে সম্ভব তাই,Dhaka,,
আমার পেইজটিতে আমন্ত্রণ রইলো,Noakhali,,
"""পজিটিভ রিপ্লাই (কারো খারাপ সময়ে কমেন্ট করার জন্য) খারাপ সময় শেষ হয়, শক্ত মানুষ শেষ হয় না।…""",Dhaka,,
যত দাড়ি টুপি লোক আছে সবাই হবে ৱাজাকাৱ জনাব ইশৱাক যখন মুক্তিযুদ্ধ মন্ত্ৰী,Dhaka,,
সবাই সাপোর্ট করবেন প্লিজ লাইক ফলো দিয়ে পাশে থাকবেন ধন্যবাদ সবাইকে,Dhaka,,
United States of Bagura,Dhaka,,
"""ভীড় ঠেলে যেই যুদ্ধ করে সামনে যায়,, এটা দেখার পরে তারেখ জিয়া মনে হয়, এরে এই পদ দেয়ার সিন্ধান্ত নিয়েছে""",Dhaka,,
ওরে বাটপার,Mymensingh,,
Fozu pagla k asha korchilam,Khulna,Magura,
স্বাধীনতার ৫৪ বছর পরে এই মন্ত্রণালয়ের কাজটা কি,Dhaka,,
কিন্তু ওয় শপথ নিসে জামাতের সাথে। যেই লোক জীবনের এত গুরুত্বপূর্ণ েও লেট করতে পারে সে মন্ত্রণালয়ে কি করবে? …,Dhaka,,
ফজলুর রহমান কি দোষ করলো?,ব্রাহ্মণবাড়িয়া,,
ইশরাক ভাইকে দেওয়া দরকার ছিলো ঘেরাও ও নিজে নিজে শপথ নেওয়া বিষয়ক মন্ত্রী,Dhaka,Madaripur,
কোন বলে বসে। সে নিজেই মুক্তিযোদ্ধা ।,Feni,,
কাম ছাড়ছে,Thakurgaon,,
হেতে মুক্তিযুদ্ধের কমান্ডার ছিলো,Chittagong,Noakhali,
ভাই আমারে সার্টিফিকেট দেওয়া যাবে টাকা দিবো ১০ হাজার।,Dhaka,,
একে তো তালা আর ঘেরাও বিষয়ক মন্ত্রী বানানো উচিত ছিল,Rajshahi,Dinajpur,
এখন বলবে আমি নেই যুদ্ধ ঘোষনা করলাম অন্য কোন দেশ লাগবে না,ঢাকা,Dhaka,Narayanganj
কি যে বিনোদন,নরসিংদী,Dhaka,Jamalpur
Des ta ses,Dhaka,,
মেয়রের আশাও শেষ,Dhaka,,
হাস্যকর,Dhaka,,
তাকে যেনো কোনো মিডিয়ার সামনে না আনা হয় কারণ তার কথা শুনলে আমার হাঁপানি উঠে। …,Dhaka,Kishoreganj,
মুক্তিযুদ্ধের সময়ের ২য় শিশু মুক্তিযোদ্ধা,Jessore,,
মান্নার ডায়লগ খুব মনে পরছে,Dhaka,,
হেঁ*ডা,ঢাকা,Dhaka,Chittagong
ইশরাক হোসেন কে প্রধান মন্ত্রী করার জোর দাবি জানাচ্ছি,Dhaka,Tangail,
যাক মেয়রের তো দামটা পায়নি এবার গোয়া মেরে দিবে নে,নরসিংদী,Dhaka,Narsingdi
sobay hahahaha disse kno?,Khulna,Bagerhat,
আহারে এইভাবেও দেশটাকে ধ্বংস করে দেয়,Dhaka,Madaripur,
"""ইশরাক ছেলেটা ভালো, তাকে আমি নিজে মুক্তিযুদ্ধ করতে দেখেছি""",Dhaka,,
এখন এদেরকে এখন মুখস্থ করা লাগবে কারন ভাইবা বোডে এদের কে নিয়ে প্রশ্ন করা হবে,Dhaka,,
ফজলুল রহমান পারফেক্ট ছিল,Dhaka,Gazipur,
হোগাই মারছে,বরিশাল,Barishal,
Congratulations,Dhaka,Gazipur,
দেয়া ও ভালোবাসা রইল ভাই,Dhaka,Manikganj,
তিনি কি ছিলেন মুক্তিযুদ্ধের সময়?,Dhaka,,
আমার আইডিটা ফলো করে দাও,Dhaka,,
এটা আসলে মানায়নি,Dhaka,,
যাত্রা শুভ হোক।,Dhaka,,
এইটা ফজলুর রহমানরে দেওয়া দরকার ছিল,Dhaka,,
ধন্যবাদ।।,Dhaka,,
হাসবো না কাদবো?? সবাই একটু বলে যান।,Dhaka,,
"""বাহের কোটায় মুক্তি যুদ্ধ মন্ত্রী, মুক্তিযোদ্ধা লিস্টে হেতার নাম জানি চলে আসে না আবার।""",Dhaka,,
উনি মুক্তিযোদ্ধা,Dhaka,,
অভিনন্দন জানাই আপনাকে।,Dhaka,,
আল্লাহই জানেন এখন আবার কোন ইতিহাস পড়তে হয়,Dhaka,,
অভিনন্দন,Dhaka,,
আসলে কি বলবো দুঃখের কথা। যে সমস্ত জায়গা যাদের দরকার সে সমস্ত জায়গায় তাদের দেওয়াদরকার।,Dhaka,,
Adv Fazlur Rahman k kora uchit chilo Muktijoddho bishoyok montri.,Dhaka,,
হা হার সংখ্যা এত বেশি কেন,Khulna,,
প্লিজ কেউ ফলো করে দেও,Dhaka,,
আসসালামুয়ালাইকুম আমার প্রিয় বন্ধুরা সবাই ফলো করে পাশে থাকবেন আমার ছোট পরিবারের,Dhaka,,
ভেঙে দেওয়া হলো অন্তর্বর্তী সরকার রাজনৈতিক অঙ্গনে নতুন মোড়—সরকারি সিদ্ধান্তের পর আনুষ্ঠানিকভাবে অন্তর্বর্তী সরকারের কার্যক্র…,Dhaka,,
ধন্যবাদ,Dhaka,,
ওনার চেহারা টা দেখলেই ঐযে ঠেলাঠেলি করেছিলো এটার কথা মনে পড়ে । ওনাকে প্রতিমন্ত্রী দিছে কারন উনি ঠেইললা যুদ্ধ করতে পারে তাই,Comilla,,
খুব সুন্দর সাজানো গোছানো,Dhaka,,
এগিয়ে যান ভাই,Dhaka,,
Manush kuje painai,Chattogram,Chittagong,Rajshahi
মাত্র ২০০ টাকা কেজি,Dhaka,,
ছোট আইডি সবাই একটু সাহায্য করবেন যেন বড় কিছু করতে পারি …,Dhaka,,
বাংলাদেশ জাতীয়তাবাদী সাইবার দল নাটোর জেলা শাখার পক্ষ থেকে প্রানঢালা শুভেচ্ছা ও অভিনন্দন শুভ কামনা অবিরাম …,নাটোর,Natore,
সবাই হাহাহা দিচ্ছে কেন,Dhaka,,
Kopal,Chittagong,,
মুক্তিযোদ্ধা সার্টিফিকেটটাও দিয়ে দেওয়া হোক,Dhaka,Barguna,
Oni Abar kon muktijota,Dhaka,,
ঘেরাও চলবে,Dhaka,,
উনি মুক্তিযুদ্ধের কি বুঝবে? বুঝলাম না। খেলা ধুলা তে দিলে ভালো হতো।,Dhaka,,
অসাধারণ!,Dhaka,,
নব্য আ.লীগের উত্তরাধিকার ভিত্তিক মুক্তিযুদ্ধার জন্ম হবে!,Dhaka,,
ধাক্কাধাক্কি বিষয়ক মন্ত্রী তে দেন,Khulna,,
এই ও দেখা লাগলো বাঙালির,Khulna,,
সেই পেটে থাকতে যুদ্ধ করছে এই বেডায় ভাবা যায়! এর লাইগাইতো এই মন্ত্রণালয় পাইছে,Barisal,,
সংসদে যেমন দেরি করে গেছে এদেশে কোনো যুদ্ধ লাগলে তার নির্দেশ যদি এমন দেরি করে দেয় তাহলে তো খেল খতম,Dhaka,,
একে মন্ত্রনালয়ে মানায় না একে মানাই জোর করে ক্ষমতা নেওয়ার আন্দোলনে,Dhaka,,
হেতেনের জন্ম শুক্কুরে শুক্কুরে আট সে মুক্তিযোদ্ধা মন্ত্রী হয় কেন কিভাবে?,Barisal,Chandpur,
জনাব ২০২৮ সাল পর্যন্ত ইনশাআল্লাহ,Dhaka,,
এ কি মন্ত্রী হবার যোগ্য?,বগুড়া,ময়মনসিংহ,Dhaka
মুক্তিযুদ্ধ কি উনি কি এটা জানে.?,Dhaka,,
এহন সবাই বইয়ে জিয়া পরিবারের মুক্তিযুদ্ধের ইতিহাস পড়বো,Dhaka,,
ঘেরাও করে মুক্তিযুদ্ধে সফল হয়েছিল বাংলাদেশ,Tangail,,
কাচা কাজ হয়েছে,সিলেট,Sylhet,Habiganj
ফজলু পাগলাম হয়ত ডায়রিয়া হয়েছে তাই...,সিলেট,Sylhet,
ক্রীড়া বিষয়ক মন্ত্রী উপমন্ত্রী দেয়নি শুকরিয়া।,Chittagong,,
ঠোটে লিপস্টিক কম হয়েছে আরএকটু হলে সুন্দর লাগতো,Dhaka,Gazipur,Sirajganj
"""বিগত ১৬ বছরে আওয়ামী লীগের অত্যাচারে বিএনপির সাধারণ সমর্থক, নেতা কর্মী ও তাদের পরিবার অনেক কষ্ট করেছে। এমনকি বিএনপি জাসাস যুবদ…""",Dhaka,,
Tar birodde j kico bolbe ee.. Akta rajakar,Narayanganj,,
বিষয়টা হচ্ছে কিছু না কিছু তো দিতেই হবে না হলে তো নিজে নিজেই বা মন্ত্রী হয়ে যাবে,Sylhet,,
লাগারে লাগা সোয়াবিন লাগা......,Dhaka,,
এখন হালা হুমন্দি সব হয়ে যাবে মুক্তিযোদ্ধা,Dhaka,Chittagong,Noakhali
"""মাথায় গিলু,ই পদে এর থাইকা ফজা পাগলাই ভালো ছিল""",Sylhet,Habiganj,
ফজু পাগল কে দিলো না কে,Dhaka,,
মুক্তিযোদ্ধা ইশরাক হোসেন,Dhaka,Narsingdi,
ব্রেইন ছাড়া ইশরাক,Sylhet,,
ভাবছিলাম বিএনপি ২ বছর টিকবে এখন দেখি ১ বছর ও পারবে না,Dhaka,,
বাবার মুক্তিযুদ্ধের কোটায় ছেলে নিয়োগ।,Dhaka,Barisal,
স্যালুট বীর মুক্তিযোদ্ধা ইশরাক হোসেন কে,Dhaka,,
শুভ বুধবার। …,Chittagong,Chandpur,
গেয়ি ভ্যাস তেল লেনে,Dinajpur,,
নগর ড্যাডি বিষয়ক মন্ত্রনালয় দিলে ভাল হবে,বরিশাল,Dhaka,Barisal
Akhon r dhakka dhakki korte hbe nahh.....amni seat raikha dbe,Mymensingh,Sherpur,
বীর মুক্তিযোদ্ধা ইশরাক ভাই,Dhaka,Tangail,
এই পোস্ট দেখার পর জিবন যুদ্ধেই হেরে গেলাম,Dhaka,Sylhet,Gazipur
নতুন চেতনা লোডিং....,Dhaka,,
ধাক্কাধাক্কি মন্ত্রি দিলে ভাল হইত,Dhaka,,
আহ্,Dhaka,Kishoreganj,
জনতার মুক্তিযোদ্ধা,Dhaka,,
উস্তাদ,Chittagong,Chandpur,
ধাক্কায় কাজ হয়েছে,Khulna,,
নগর ডেন্ডি,Chittagong,,
Fojlur rohman ke banano drkar chilo,Dhaka,Barisal,
মালঞ্চি,Dhaka,Jamalpur,
যারা মুক্তিযোদ্ধা তাদের কে মুক্তিযোদ্ধা বিষয়ক মন্ত্রী না দিয়ে শিশু কে দেই,Dhaka,,
অভিনন্দন আমাদের গর্ব বাংলাদেশের মাটি মানুষের নেতা শুভকামনা রইল,Jamalpur,,
তারেক রহমান জামাতের আমিরকে মন্ত্রী বানাবেন আর জামাতের আমি এর সাথে তা....See,Mymensingh,,
"""হইছে, এইবার পুরাদমে স্বাধীনতার চেতনা পাইকারী হারে বিক্রি হবে।""",Dhaka,,
সমস্যা নাই ভাই। পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে।,Dhaka,Kishoreganj,
"""হইতে চাইছিলাম মেয়র, বানাইলেন প্রতিমন্ত্রী।""",Tangail,,
পাগলারে দিছে আরো চেতাইয়া,Chittagong,Lakshmipur,
Onake amar protimonti dile valo hoy.,Dhaka,Barisal,Bhola
মুক্তিযুদ্ধ বিষয়ে ইশরাক কী জানে? ওর বয়স কত? বিএনপি নাকি স্বাধীনতার দল? একজন মুক্তি যোদ্ধা নেই এই মন্ত্রণালয়ের জন্য???,Chittagong,,
মুক্তিযুদ্ধ মানেই জাতির ড্যাডি বঙ্গবলটু আর নগর ড্যাডি ইশরাক,Dhaka,,
Muktijuddho bishoyok montri Thela-theli bishoyok montri️,Sylhet,Sunamganj,
আরো বেশি করে ভোট দেও বাঙালি জাতি,Dhaka,Narsingdi,
সামলাতে পারবে গায়ের জোর আসে না,Panchagarh,,
মেথর,Chittagong,Sylhet,
ওর জন্য এটা অতিরিক্ত হয়ে গেছে!,Dhaka,,
How,Dhaka,Netrokona,
সাওয়া মন্এী,Chittagong,Comilla,
"""দুঃখের বিষয় হচ্ছে তার বাবার সাথে যে রাজনীতি করেছে সে কিন্তু মন্ত্রীর মর্যাদা পেল না, বাংলাদেশে ছয়বার এমপি জয়নাল আবদীন ফারু…""",Chittagong,Noakhali,
ভাই তার আব্বা যুদ্ধ করছে নি আমার কাছে সন্দেহ হয়,Dhaka,,
আরে তোমরা তো জানোই না আমি আর ও এক সাথে যুদ্ধের মালামাল সরবরাহ করছি।,Dhaka,,
একদম ঠিক আছে,Dhaka,,
"""মন্ত্রণালয় যদি না দিত, তিনি পাঁচ ে সংসদ ঘেরাও কর্মসূচি দিয়ে নিজে নিজেই মন্ত্রীর শপথ পড়ে ফেলতেন!""",Dhaka,Chittagong,Gopalganj
দেশটা চাঁন্দের দেশে চলে গেছে মনে করেন আর কিছু বাকি নাই।,Dhaka,Barisal,Pirojpur
বয়স কম,Chittagong,,
এই দেশ তাইলে শেস কটি মানুষের প্রান চলে গেলেও এই দেশ কখোনো ঠিক হবে না,Dhaka,Noakhali,
সুধু মন্ত্রী পদ দিলে হবে না ঠেলাঠেলি জন্য ওকে নোবেল দিতে হবে তারেক ভাই,Dhaka,,
মেয়র সাহেব,Feni,,
