Comment,Sentiment
"এইসব পেইড দালালরা ছাড়া কেউই বলছেনা বিএনপি ক্ষমতায় আসবে।যদি নির্বাচন সুষ্ঠ হয় বিএনপি সর্বোচ্চ একশ সিট পাবে,পরে মিলিয়ে নিবেন।",
বুদ্ধিজীবি ১২ কোটি ভোটারের মনের খবর জানে,
উনি ঢাকায় বসে ডাকসু নির্বাচনে ফতুয়া দিয়েছিল সেদিক থেকে বুঝেছি হেতার মাথায় কিছুই নাই,
ইনার মুখে কয়েকদিন আগে শুনলাম বিএনপি ২৫০+ আসন পাবে আজকে শুনি ২০০+,
সস্তা বুদ্ধিজীবী!,
রুমিন আপার প্রেডিকশনটা যদি একটু করে দিতেন!!,
জাহিদ ভাইয়ের মুখ বন্ধ করার জন্যই মানুষ জামাতকে ভোট দেবে,
"জামাতের ইশতিহারে ইসলামকে নৈতিকতা, দায়িত্বশীলতা ও মানবকল্যাণের দর্শন হিসেবে তুলে ধরা হয়েছে। শরিয়াহ বলতে শুধু দণ্ডবিধি নয়; বরং ন্যায়বিচার, দুর্নীতিমুক্ত শাসন, মানবিক মর্যাদা, সামাজিক নিরাপত্তা ও জবাবদিহিকে অগ্রাধিকার দেওয়া হয়েছে",
"এই যদি বিনপি বুদ্ধিজীবির অবস্থা হয়, এই দল বেশি দুর যাবে না।",
ডাকসুর মত হবে ইনশাআল্লাহ।,
পাগলা পানি খাইছে,
"বহু বছর আওয়ামী লীগ সরকার দেখেছি , বহু বছর বিএনপি সরকার দেখেছি , একবার জামাত সরকার দেখতে চাই ।",
আগে থেকে রাস্তা তৈরি,
"জনগন বিএনপির মিছিল মিটিংয়ে যায়। কিন্তু, ভোট দিবে বলতেছে দাঁড়িপাল্লায়",
তোর কথা যেন সত্যি হয় যেমন সত্যি হয়েছিল ডাকসু নির্বাচনে,
ছাপরি,
জেন ঝি ৪ কোটি ভোটার ইনসাফ কে ভোট দিবে।,
বস্তাপচা বুদ্ধিজীবী!,
কাচা গান্জা খাইছে।,
ভদ্রলোকের বক্তব্য আগে দেখতাম। কিন্তু ইদানীং ওনার কথাবার্তা তৃতীয় শ্রেণীর ব্যক্তিবর্গের থেকেও নিকৃষ্ট মানের।,
কিসের বুদ্ধিজীবি ওনার মাথায় তো কুত্তার গু বরা,
ওগুলো ভারতের মাল ও বুঝতে পারছে জামাত ক্ষমতায় আসলে আমার টকশোতে আর ভ্যালু থাকবে না এই জন্যই এগুলো বলতেছে।,
"বিএনপি জিতবে না ওকে ফাইন, তাহলে জামাতের আমিরকে প্রশ্ন করেন কেনো বিএনপির সাথে জাতীয় সরকার গঠন করতে চাচ্ছে?? জামাতের দল কানা সমর্থকদের বলছি?",
বাটপার,
হাসের খবর কি দালাল,
বিএনপি ২০০ আসন ক্রস করবেই ফেইল করে ২২৫ জামায়াতে ইসলাম ৭৫ বিএনপি।Loud & Clear,
মহা পন্ডিত যে ডাকসুর প্রেডিকশন করলো তাতে তো বিএনপি গো হারা হারল,
এই ছাগল তুই মনে করলেই কি আর না করলেই কি তুই ওখানে বসে সারাদেশের জনগণের মনে কি আছে তুই জানোস পাগল ছাগল সব টকশোতে ধরে নিয়ে আসে ভিউ বাড়ানোর জন্য,
জাহেদ় ভাই সঠিক বলছেন,
এদের কে কেন অনুষ্ঠানে আনেন এরা বিএনপি পন্থী,
তোমার মুখের কথা মুখেই থেকে যাবে তোমার ধারণা নাই এসব তেল মারা কথা,
আলহামদুলিল্লাহ দাঁড়িপাল্লা,
ইনশাআল্লাহ বি এন পি সরকার গঠন করবে,
উনি এই সমস্ত চিন্তায় বেশি ছিল।,
তুমি কেন মনে করবা তুমি খাইচো না আরো খাওয়ার অপেক্ষায় আছো না ?,
তুমি কি বুদ্ধিজীবী,
ইনশাআল্লাহ,
এই লোক সেই লোক না ঢাকা বিশ্ববিদ্যালয় জিতিয়েছিল কোন দলকে যেন,
জাহিদ ভাইয়ের ধারণা উল্টে যাওয়া অসম্ভব না। সুষ্ঠ সুন্দর শান্তিপূর্ণ নির্বেজাল নিরপেক্ষ নির্বাচন চাই যেই পাশ করুক।,
এই পরজীবী ডাকসু নির্বাচনের আগেও এরকম প্রেডিকশন করেছিল,
আওয়ামীলীগ জামাতকে ভোট দিবে এটা ভাবা দিবা সপ্ন।,
সময় আসতে দেন দেখেন,
বরদা কিন্তু এক চামচ বেশি বুঝে,
ওকে চিনেছি দালাল একটা আগে গোঁড়ার খবর নে পরে সিদ্ধান্ত কর,
এই বিশেষজ্ঞর কথা যদি সত্যি না হয় তারে সবাই ডাস্টবিনের মধ্যে ফালাইয়া ময়লা খাওয়াইতে হইবো,
"বলদা,, সমিকরন করতে জানেনা",
এই বলদ যার পক্ষ নেই সেই হারে,
সালার কানে কখন যে তাপড়াবো,
ঠিক বলছেন জামাত দালাল কিনতে পারেনাই। বিএনপি মিডিয়া আর দালালদের এক করতে পারছে তাই ভোটের আগেই বলে দিচছে বিএনপি২০০ বেশি ছিট বাবে।,
জামাত জিতে গেলে দেশে মাদকের চোরাচালান বন্ধ হয়ে গেলে এদের কি হবে জামাতের কাছে অনুরোধ তারা যাতে দেশে ফ্রিতে মাদক নিরাময় সেবা দেয় নাহলে এত এত লোকের কি হবে,
তুই মনে করলে কি না করলে কি আমরা জনগোন মনে করলে হই,
আর কিছু দিন গেলে জাহেদ ১৫০ বলতো।,
বাংলাদেশের সব ভোটে গ্রেট মাদারবোর্ডে দিব। যার জন্যই তো ভোটকেন্দ্র থেকে ৪০০ মিটার দূরে মোবাইল নেওয়া যাবে না। যদি মোবাইল নেওয়া যায় তাহলে তো টু থার্ড মেজরিটি হবে না,
এইবার মুখের কথা কাজে লেগে গেছে,
কাঁচা পাতা খেয়ে আসছে,
এই হালা যা বলে সব ভূয়া,
মনে হয় অনেক খেয়েছে।,
এই লোক চামচামি করে কিছু একটা করতে হতে চায় বিএনপি সরকারে আসলে,
ইসলাম থাক বা না থাক সেটা বড় ব্যাপার না ব্যাপারটা হচ্ছে তারা সৎ আপনাদের মত অসৎ না সেই জন্যই সেখানে ভোট দেয়া উচিত,
ঘেটু জাহিদ এভাবেই কথা বলে আন্দাজে,
"বরং আমি তো মনে করি আপনি উল্টা হাইপ তৈরি করার চেষ্টা করছেন যে, বিএনপি ২০০ এর বেশি সিট পাবে।",
জাহেদ সাব কথা কেমন যেন গালে বেজে যাচ্ছে।,
"প্রতিহিংসার রাজনীতি বিএনপি করেন না' যে রাজনীতি দল স্বপ্ন দেখছে, জনগণ ঘাটে নিয়ে তরী ডুবানেন।",
"দালাল মিডিয়া টাকার কাছে বিক্রি হয়ে গেছে কিন্তু বিএনপির অনুকুলে সবাই সাবধান, এটা প্লানের অংশ, সব মিডিয়াই জামাতের বিরুদ্ধে নিউজ করতাছে।",
বাহ্: বিনা মূলধনে ধনী হওয়ার নিনজা টেকনিক।,
কি পরিমান চাটাচাটি শুরু করছে মিডিয়া,
"ন্যায় ও ইনসাফভিত্তিক সমাজ গঠন করা জরুরি,এই প্রজন্ম অনেক নষ্ট হয়ে গেছে,হে তরুণ , যদি পরবর্তী প্রজন্মেকে ভালো কিছু উপহার দিতে চাও তাহলে তোমার ভোট ভেবে দাও।",
"আসন্ন নির্বাচনে আপনার একটি ভোট কেবল একটি সিল নয়, বরং এটি একটি আগামীর অঙ্গীকার। আমরা ভোট দেবো বাংলাদেশের পক্ষে, আমরা ভোট দেবো জুলাইয়ের বিপ্লবের চেতনাকে ধারণ করে। ইনসাফ ভিত্তিক সমাজ গড়তে সততা আর ঐক্যের কোনো বিকল্প নেই।",
"ধান লাগা, চান্দা উঠা।",
"বার বার প্রমাণিত চাদাবাজ, দুর্নীতিবাজ, লুটপাট, দখলদাদের বয়কট করুন। এদের হাত থেকে দেশকে বাচান।",
৬০% বিএনপি প্রার্থী ঋণখেলাপী চোর এদের দায় সাধারণ জনগণ কি নিবে?,
ইনশাআল্লাহ বিএনপি,
ইনশাআল্লাহ জয় নিশ্চিত,
ইনশা আল্লাহ,
মাশাআল্লাহ আলহামদুলিল্লাহ,
"নৌকা, ধানের শীষ, লাঙ্গল দেখা শেষ দাঁড়িপাল্লা এবার গড়বে বাংলাদেশ ",
"শান্তিপূর্ণ, নিরপেক্ষ ভোট হলে গণতন্ত্রের সূচনা হবে: তারেক রহমান",
গণতন্ত্র পক্ষে ধানের শীষে ভোট দিয়ে আমরা গর্বিত,
ভোট দিয়েছি স্যার। ইনশাআল্লাহ আপনি আমাদের দেশের মানুষের প্রত্যাশার প্রধানমন্ত্রী হবেন,
"একবার মনে হচ্ছে বিএনপি জিতবে, আবার মনে হচ্ছে জামাত জিতবে। আম্লীগের সময় এই টেনশন করতে হতো না, আমরা জানতাম কে জিতবে। আগেই ভালো ছিলাম।",
ইনশাআল্লাহ জয় আমাদেরই হবে,
"আমি বললাম, প্রয়োজনে লিখে রাখেন জামায়াত সরকার গঠন করবে। যদি ভোট সুষ্ঠু হয়। ইনশাআল্লাহ",
ভোটের ফলাফল যদি দেরি করে ঘোষণা হয় তাহলে কি জাতি মেনে নেবে কি নেবে না,
আমাদের এলাকার জামাত পাস হয়েছে দাঁড়িপাল্লা,
ইনসাহা আললাহ মাঠে শিবীর বুলেটেট মত কাজ করবে কেউ সাহস করবে না এবার,
ইনশাআল্লাহ জিতবে,
নির্বাচন ঘিরে বিএনপি সারা দেশে কি পরিমান অরাজকতা করতেছে সেটা কি আপনার অনুমতিতে?,
লন্ডন ফেরত চাই না যাদের নেতা বলে হ্যা ভোট কর্মী বলে না ভোট,
আমার বয়সে আমি প্রথম ভোট দিতে চাইছিলাম দিতে পারলাম না অনেক কষ্ট পাইলাম,
বিপুল ভোটে ধরনের শীষ,
ইনশাল্লাহ এম এমাপাটি জামায়াত ইসলামী বাংলাদেশ জিন্দাবাদ নারে তাকবীর আল্লাহু আকবার এম এমাপাটি জামায়াত ইসলামী,
ইনশাআল্লাহ জয় খুব নিকটে,
অনেক ইচ্ছা ছিল একটা ধানের শীষে ভোট দিব,
তরুণ্যের প্রথম ভোট ধানের শীষের পক্ষে হোক।,
জয় বাংলা_জিতবে এইবার ধানের শীষ_দাঁড়িপাল্লায় ভোট দিস,
যৌবন এর প্রথম ভোট ইসলামী কেন দলের দিবে ইনশাআল্লাহ,
৭০% বললেও এটা সামনের কয়েক সপ্তাহে ৮০% হয়ে যাবে।,
ধানের শীষের ভোটার যারা জয়ের মালা পর্বে তারা ধানের শীর্ষে ভোটার যারা করবে তারা,
তাহলে আর বিনাকরণে ভোট করার দরকার কি?,
ইনশাআল্লাহ দাঁড়িপাল্লার বিজয়ী হবে,
ইনশাআল্লাহ বিএনপি সরকার গঠন করবে,
নৌকা আর ধানের শীষ দুই সাপের একই বিষ,
"জামায়াতে ইসলাম,ছাত্র শিবির সরকারের দায়িত্ব পেলে ইনশাল্লাহ দাঁড়িপাল্লা সব দুর্নীতি জিরো টলারেন্স করবে।",
রিপোর্টের ভেতরে খাম্বার কথা দেখে আরও গর্ব অনুভব করলাম। খাম্বার খ্যাতি বিশ্বজুড়ে ছড়িয়ে গেছে। আলহামদুলিল্লাহ। জিতবে এবার ধানের শীষ,
প্ল্যান প্ল্যান কইরা লাগাইলি তো মারামারি খুনাখুনি জাতি প্ল্যান দেখতাছে লগে ভবিষ্যৎও দেখতেছে,
টাইম তারেক রহমান কে খাম্বা মেনশন করলো কেন,
"তারেকের অনেক গুণ, ইলেকশনে মানুষ খু' ন",
টাইম তারেক রহমান কে খাম্বা মেনশন করলো কেন,
সন্ত্রাসী তারেকের বিচার চাই,
খাম্বা বলে কি বুঝাইলো রে ভাই ওইটা যে বল্লি না,
"খাম্বা, ‌,,,, ‌,,,,,,,,,,,,,,, আমার লিটার। দুরনিতিতে তিন বারের চেম্পিয়ন",
"একদা এক বালক স্বপ্নে নায়িকা কে নিয়ে স্বপ্ন দেখেছে, সকালে উঠে দেখে তার স্বপ্নদোষ হয়েছে। এই স্বপ্নদোষের কারণ কি নায়িকার নাকি ছেলেটার। BNP ও ঐরকম স্বপ্নদোষের স্বপ্ন দেখছে।",
"ভাই সিরিয়াসলি এটা শেয়ার দিয়েছে। নিচের দিকে তারেক রহমানকে নিয়ে যে পরিমাণ বাজে মন্তব্য করেছেন তারপরও এটা শেয়ার দিল। অন্তত একটু ইংরেজি ট্রান্সলেট করা শেখো ,কারা চালায় এসব পেজ। তারেক রহমানের অতীতের অপকর্ম নিয়ে লিখেছে এই নিউজ চ্যানেলটা তারা আবার এটা শেয়ার দিয়েছে।",
"লাখো কণ্ঠ, এক স্বপ্ন—ন্যায়ভিত্তিক বাংলাদেশ। ❝ভোট দিবো কিসে— ধানের শীষে।❞",
"বিএনপি হেরে গেলে হেরে যাবে বাংলাদেশ ❤️প্রজন্ম থেকে প্রজন্ম ধানের শীষ থাকবে🤲 দলে দলে যোগ দিন ধানের শীষে ভোট দিন

",
আপনারা আগে বলেছেন জামায়াতে ইসলামী ৫ % আর এখন জরিপে আসছে ১৯ % এইভাবে বারতে থাকলে ইনশাআল্লাহ জামায়াত ইসলামি ১০০% হতে বেশি দিন লাগবে না।,
টাইম ম্যাগাজিন লিডারভকে খাম্বা বল্ল কেন বুঝলাম্না,
লেতা কি হরবেন মনে হয়। চিন্তায় কি বিচি কান্দে না কি।,
সকল জনগণের সমর্থন নিয়ে জনাব তারেক রহমান এগিয়ে যাবে ।সকল ষড়যন্ত্র চক্রান্ত প্রতিহত করে বিএনপি সফলতায় পৌঁছাবে। ধানের শীষ মার্কা জিন্দাবাদ। ইনশাল্লাহ।,
"চাঁদাবাজি, টেন্ডারবাজি, দুর্নীতি ও মাদকমুক্ত বাংলাদেশ গড়তে জনগণের আস্থার শীর্ষে ধানের শীষ। আপনিও আপনার মূল্যবান ভোট প্রদানের মাধ্যমে ধানের শীষ কে শক্তিশালী করুন।",
"নেতা করে খাম্বা চুরি, কর্মি মারে গলায় ছুরি।",
"জেগেছে জনতা, বেঁধেছে জোট ধানের শীষে দিবে ভোট।।
",
বেটা ভন্ড চাঁদা বাজদের বয়কট,
ধানের শীষ জিন্দাবাদ,
খাম্বা তারেক বলছে সেটাও বলো,
টাইম ম্যাগাজিন খাম্বা না লিখে ইলেকট্রিক পুল লিখলেও পারত,
ফ্যামিলি কার্ডের পাশাপাশি একটা কাফন কার্ড ও দিয়েন,
"বিম্পি এভাবেই অনলাইনে জিতে। সারা দেশে চাঁদাবাজি খুনখারাপি, লীগের মতো ডায়লগ মেরে বলে যে তারা নাকি জিতবে। বারো তারিখ পর্যন্ত অপেক্ষা করো তখন ফলাফল দেখবা",
,
"সব জায়গায় জামাতের প্রিজাইডিং অফিসার নিয়োগ হইছে।যারা ইতিমধ্যে কোন দিন ডিউটি করে নাই, গেষ্ট টিচার দিয়ে প্রিজাইডিং অফিসার নিয়োগ হইছে, অন্যদিকে অনেক মাধ্যমিক বিদ্যালয়ের প্রধান শিক্ষক ও দায়িত্ব পাই নাই।কোন স্কুলে প্রধান শিক্ষক কে বাদ দিয়ে জামায়াত নেতা হিসাবে পরিচিত সহকারী প্রধান শিক্ষক কে প্রিজাইডিং অফিসার নিয়োগ দিছে।",
"ভোটকেন্দ্রে যান,নিজের সিদ্ধান্ত নিজে নিন। ধানের শীষ প্রতীকে ভোট দিন।",
টাইমস তো খাম্বা তারেক ও মেনশন করলো সেটাও কি বিশ্বাস করো নাকি?একাংশ নিবা একাংশ নিবানা তা ত হয়না সোনা বন্ধু।,
"হাসিনার রেখে যাওয়া কাজ গুলো করা জন্য দেশে আসছে ১৭ বছর পালিয়ে থাকা নেত
",
হে দেশবাসী আগামী ১২ তারিখ বিএনপি নামে দল কে আওয়ামীলীগ এর মত করে লন্ডনের পথে পাঠানোর সিদ্ধান্ত এখন আপনার আমার সবার,
★ভোট দিবো কিসে★ধানের শীষে★,
নির্বাচনকে ঘিরে প্লেয়াররা প্রস্তুত— আসলেই কি ভোট হবে?,
তারেক রহমান,
ইনশাআল্লাহ,
"তারেক জিয়া কে যে ভাবে মানুষ এই দেশে বরন করে নিয়েছে,এক দিন জয় কেউ এই মাটিতে বরন করে নিবে।শুধু সময় এর ব্যাপার।",
তারেক রহমানের জিন্দাবাদ বাংলাদেশ জাতীয়তাবাদী দল বিএনপি জিন্দাবাদ,
আলহামদুলিল্লাহ ফি আমানিল্লাহ অভিনন্দন,
আমার প্রানের বাংলাদেশে বিএনপি ছিল বিএনপি আগামীতেও থাকবে ইনশাআল্লাহ,
"শান্তিপূর্ণ, নিরপেক্ষ ভোট হলে গণতন্ত্রের সূচনা হবে: তারেক রহমান",
