dataset,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Election,78,এই ছাগলের তিন নাম্বার বাচ্চা সংসদে গেলো কেমনে,এই ছাগলের তিন নাম্বার বাচ্চা সংসদে গেলো কেমনে,2,0.5999754598468783
After Election,79,জমিদার পুত্র মাল বেশি খাইয়া ফেলছে মনে হয়,জমিদার পুত্র মাল বেশি খাইয়া ফেলছে মনে হয়,2,0.8390438155358311
After Election,80,অটো পাশ মেয়র,অটো পাশ মেয়র,1,0.5999902243178874
After Election,81,চাঁদাবাজার দল,চাঁদাবাজার দল,3,0.7328668759238186
After Election,82,দুই দিনের ডার্বি!,দুই দিনের ডার্বি,1,0.5999620592054304
After Election,83,নগর পিতা,নগর পিতা,0,0.2
After Election,84,মেথর,মেথর,0,0.2
After Election,85,চান্দাব্বাস বাদ এবার ইসরাকএর পালা,চান্দাব্বাস বাদ এবার ইসরাকএর পালা,4,0.5517670826477177
After Election,86,চাঁন্দা ইসরাক,চাঁন্দা ইসরাক,1,0.5999620703005505
After Election,87,খোকার পোলা বোকা,খোকার পোলা বোকা,0,0.2
After Election,88,"এ অবস্থা বিএনপি ২বছরের বেসি রান করাইতে পারবে না,,",এ অবস্থা বিএনপি বছরের বেসি রান করাইতে পারবে না,4,0.7306227001485827
After Election,89,এখন কার বি এনপি ×= আবু জাহেল √,এখন কার বি এনপি আবু জাহেল,2,0.5999857827828418
After Election,90,প্লানের অংশ বিশেষ!,প্লানের অংশ বিশেষ,0,0.2
After Election,91,বিএনপির কি ক্ষমতায় থাকার ইচ্ছা নাই? জনগণ নিরাপদ থাকতে চায় আগে তাদের নিরাপত্তা দিন তারেক রহমান!,বিএনপির কি ক্ষমতায় থাকার ইচ্ছা নাই জনগণ নিরাপদ থাকতে চায় আগে তাদের নিরাপত্তা দিন তারেক রহমান,3,0.898893188226707
After Election,92,চাঁদা তো দিতেই হবে কারণ আমরাই তো ভোট দিয়ে চাঁদাবাজিকে হালাল করে দিছি,চাঁদা তো দিতেই হবে কারণ আমরাই তো ভোট দিয়ে চাঁদাবাজিকে হালাল করে দিছি,1,0.8371850875506875
After Election,93,সমঝোতামূলক লেনদেন চাঁদা নয়,সমঝোতামূলক লেনদেন চাঁদা নয়,0,0.7295388630055524
After Election,94,চাঁদাবাজিকে প্রাতিষ্ঠানিক রূপ দিতেই তো কষ্ট করে ভোট দিলাম ৷,চাঁদাবাজিকে প্রাতিষ্ঠানিক রূপ দিতেই তো কষ্ট করে ভোট দিলাম ৷,3,0.7985232656589151
After Election,95,চান্দা বাজারে ক্ষমতায় বসাইলে তো চাঁদাবাজি হইবোই,চান্দা বাজারে ক্ষমতায় বসাইলে তো চাঁদাবাজি হইবোই,1,0.7317601306014216
After Election,96,সমোঝোতা করে চাঁদা নিন তাহলে বৈধ হবে,সমোঝোতা করে চাঁদা নিন তাহলে বৈধ হবে,1,0.7328586502662191
After Election,97,সমঝোতার ভিত্তিতে থাপড়ানের অনুমতি কি দেয়া যায় না?,সমঝোতার ভিত্তিতে থাপড়ানের অনুমতি কি দেয়া যায় না,0,0.733315543919453
After Election,98,জুলাই গাদ্দার,জুলাই গাদ্দার,0,0.7317188289954603
After Election,99,গাদ্দার,গাদ্দার,0,0.5986726694682731
After Election,100,বিএনপির ২০২৮ সালের মধ্যেই গুয়ামারা খাবে,বিএনপির সালের মধ্যেই গুয়ামারা খাবে,2,0.7990340861039705
After Election,101,জুলাই সনদ বাস্তবায়ন নাহলে  রেমিট্যান্স শা'টডা'উন ঘোষনা প্রবাসীদের,জুলাই সনদ বাস্তবায়ন নাহলে রেমিট্যান্স শা টডা উন ঘোষনা প্রবাসীদের,0,0.8393385146792046
After Election,102,বিএনপির পতন খুব নিকটে,বিএনপির পতন খুব নিকটে,2,0.7993722618673188
After Election,103,জুলাই কে অস্বীকার করে গণভোট বাদ দিবে। জামায়েত কে তারাও নিষিদ্ধ করবে জুলুম করবে। হাদী ভাই কে মুছে ফেলার চেষ্টা করবে। বিচার হবে না। ডিফেন্স ডিল বাতিল করে ইন্ডিয়ার দাসত্ব করবে।,জুলাই কে অস্বীকার করে গণভোট বাদ দিবে জামায়েত কে তারাও নিষিদ্ধ করবে জুলুম করবে হাদী ভাই কে মুছে ফেলার চেষ্টা করবে বিচার হবে না ডিফেন্স ডিল বাতিল করে ইন্ডিয়ার দাসত্ব করবে,0,0.8850086348789263
After Election,104,গনভোটের ফল বাতিল হলে শেখ হাসিনা এখনো বাংলাদেশের প্রধানমন্ত্রী আর এই নির্বাচন অবৈধ ঘোষিত হবে।কথা ক্লিয়ার!!!,গনভোটের ফল বাতিল হলে শেখ হাসিনা এখনো বাংলাদেশের প্রধানমন্ত্রী আর এই নির্বাচন অবৈধ ঘোষিত হবে কথা ক্লিয়ার,3,0.9100711337096402
After Election,105,মাদারবোর্ড খসরু,মাদারবোর্ড খসরু,4,0.5965079944484085
After Election,106,বিএনপি একটি বিশ্বাসঘাতক দল।,বিএনপি একটি বিশ্বাসঘাতক দল,3,0.7311445112201042
After Election,107,"ঠিক এই কারণেই বিএনপি,, হাদি ভাইকে হত্যা করেছে,,৷ লিখে রাখেন হাদি ভাইকে মারার পিছনে বিএনপির হাত,, ১০০%",ঠিক এই কারণেই বিএনপি হাদি ভাইকে হত্যা করেছে ৷ লিখে রাখেন হাদি ভাইকে মারার পিছনে বিএনপির হাত,3,0.8657117162965735
After Election,108,বি এন পি রা সবায় মিলে হাদিকে বাজতে দায় নায় সব শালা খুনি,বি এন পি রা সবায় মিলে হাদিকে বাজতে দায় নায় সব শালা খুনি,2,0.5360901411857488
After Election,109,আমির খসরু একজন চিহ্নিত দালাল ভারতের,আমির খসরু একজন চিহ্নিত দালাল ভারতের,3,0.7991821947505435
After Election,110,বিএনপির পতন খুব নিকটে,বিএনপির পতন খুব নিকটে,2,0.7993722618673188
After Election,111,মীর জাফরের জাত এই দল।,মীর জাফরের জাত এই দল,3,0.5983382275391685
After Election,112,বিএনপি মানে জুলাই বিরোধী ভারত মানে জুলাই বিরোধী স্বৈরাচার মানে জুলাই বিরোধী সাথে গাদ্দারি করে ১৪০০ শহীদের রক্তের সাথে গাদ্দারি করে চল্লিশ হাজার আহত যুদ্ধের সাথে গাদ্দারি করে কোন জালেম বাংলাদেশের ক্ষমতায় টিকে থাকতে পারবে না ইনশাআল্লাহ,বিএনপি মানে জুলাই বিরোধী ভারত মানে জুলাই বিরোধী স্বৈরাচার মানে জুলাই বিরোধী সাথে গাদ্দারি করে শহীদের রক্তের সাথে গাদ্দারি করে চল্লিশ হাজার আহত যুদ্ধের সাথে গাদ্দারি করে কোন জালেম বাংলাদেশের ক্ষমতায় টিকে থাকতে পারবে না ইনশাআল্লাহ,4,0.9325945070520695
After Election,113,ভারতীয় দালাল গাদ্দার,ভারতীয় দালাল গাদ্দার,3,0.7292657756369713
After Election,114,জুলাই সনদ না মানলে এই নির্বাচনও অবৈধ,জুলাই সনদ না মানলে এই নির্বাচনও অবৈধ,1,0.7969148060988837
After Election,115,এটা ভারতের বিএনপি,এটা ভারতের বিএনপি,3,0.7316352821507401
After Election,116,বান চো * প্রথম দিনেই রং দেখাইছে,বান চো প্রথম দিনেই রং দেখাইছে,3,0.7319337669212296
After Election,117,মির্জাফর বিম্পি,মির্জাফর বিম্পি,0,0.5999761562373945
After Election,118,বর্তমান বিএনপি মেজর জিয়া ও বেগম জিয়া কারো আদর্শ ধারণ করে না। আর সালাহউদ্দিনের আদর্শ একটাই তা হলো ভারতের গোলামী।,বর্তমান বিএনপি মেজর জিয়া ও বেগম জিয়া কারো আদর্শ ধারণ করে না আর সালাহউদ্দিনের আদর্শ একটাই তা হলো ভারতের গোলামী,3,0.7985157464523048
After Election,119,সংবিধানে কোথায় ফ্যামিলি কার্ড লেখা আছে জানতে পারি?,সংবিধানে কোথায় ফ্যামিলি কার্ড লেখা আছে জানতে পারি,0,0.2
After Election,120,"বিএনপি এখন আর বাংলাদেশ জাতীয়তাবাদী দল নয়, বর্তমানে এটি ভারতের দালাল আওয়ামিলীগ এর সহচর বিম্পিতে পরিণত হইছে!",বিএনপি এখন আর বাংলাদেশ জাতীয়তাবাদী দল নয় বর্তমানে এটি ভারতের দালাল আওয়ামিলীগ এর সহচর বিম্পিতে পরিণত হইছে,3,0.8849073547948961
After Election,121,সালাউদ্দিনের মত কিছু বাটফার দালালদের কারণে বিএনপির পতন হবে,সালাউদ্দিনের মত কিছু বাটফার দালালদের কারণে বিএনপির পতন হবে,2,0.7982616260302081
After Election,122,ভারত লীগের সংবিধান শিলং সালার পুটকি দিয়ে ভরবে বাংলাদেশের জনগণ,ভারত লীগের সংবিধান শিলং সালার পুটকি দিয়ে ভরবে বাংলাদেশের জনগণ,3,0.8391857167682042
After Election,123,আমাদের জাতীয় মীরজাফর জাতীয় বাটপার জাতীয়তাবাদ তার নাম বিএনপি,আমাদের জাতীয় মীরজাফর জাতীয় বাটপার জাতীয়তাবাদ তার নাম বিএনপি,0,0.8389901189474243
After Election,124,বিএনপি জুলাইয়ে সাথে বেইমানি করছে এরজন্য এদের চরম মূল্য দিতে হবে।,বিএনপি জুলাইয়ে সাথে বেইমানি করছে এরজন্য এদের চরম মূল্য দিতে হবে,0,0.7305943402280518
After Election,125,কত বড় দালাল,কত বড় দালাল,4,0.728055154187367
After Election,126,শুরুতেই বাটপারি,শুরুতেই বাটপারি,0,0.2
After Election,127,"খালেদার বিম্পি আর এখন নেই, এইটা আওয়ামীবিম্পি",খালেদার বিম্পি আর এখন নেই এইটা আওয়ামীবিম্পি,0,0.5999761562373945
After Election,128,রিয়েল মুনাফেক,রিয়েল মুনাফেক,2,0.5999613242540005
After Election,129,উনি হচ্ছেন ভারতের ___।  শুধুমাত্র এইচএসসি পাস করা ব্যক্তি শূন্যস্থান পূরণ করুন,উনি হচ্ছেন ভারতের শুধুমাত্র এইচএসসি পাস করা ব্যক্তি শূন্যস্থান পূরণ করুন,1,0.6407821210017852
After Election,130,ভোট তো এমনিই জাল হইছে বিএনপির মেয়াদ ২ বছর,ভোট তো এমনিই জাল হইছে বিএনপির মেয়াদ বছর,3,0.7974169283688457
After Election,131,"গনভোটের রায়ের বিপক্ষে নাকি বিএনপি হাইকোর্টে রিট করছে,আজকে থেকে ৪৫ দিন কাউন-ডাউন শুরু করে দেন",গনভোটের রায়ের বিপক্ষে নাকি বিএনপি হাইকোর্টে রিট করছে আজকে থেকে দিন কাউন ডাউন শুরু করে দেন,0,0.8387313218567717
After Election,132,হ‍্যাঁ” ভোট RIP হইছে।  কখন জানি রেমিট্যান্স RIP হয়,হ ্যাঁ ভোট rip হইছে কখন জানি রেমিট্যান্স rip হয়,3,0.39996361549078596
After Election,133,খাম্বা তারেক,খাম্বা তারেক,1,0.7327102661614336
After Election,134,যেমন নেতা তেমন কর্মী : এই জন্য বলতে হয় বিএনপি মানেই মূর্খ মুনাফেক = HSC,যেমন নেতা তেমন কর্মী এই জন্য বলতে হয় বিএনপি মানেই মূর্খ মুনাফেক hsc,2,0.8976336158506738
After Election,135,আল্লাহর জমিনে এদের বিচার হবে ইনশাআল্লাহ,আল্লাহর জমিনে এদের বিচার হবে ইনশাআল্লাহ,3,0.7316275810668016
After Election,136,ভোটচোর খাম্বা তারেক।,ভোটচোর খাম্বা তারেক,1,0.7327102661614336
After Election,137,"সর্বোচ্চ দেড় বছর ,, ভাগ্য ভালো হলে আরো আগেই ।",সর্বোচ্চ দেড় বছর ভাগ্য ভালো হলে আরো আগেই,0,0.8655818585977683
After Election,138,রোজা পড়েই শুরু হবে আন্দোলন।,রোজা পড়েই শুরু হবে আন্দোলন,0,0.5999886611456827
After Election,139,মাশা-আল্লাহ নজর না লাগুক।সামনে হ্যাট্রিক করবো।,মাশা আল্লাহ নজর না লাগুক সামনে হ্যাট্রিক করবো,2,0.5999613054468034
After Election,140,চ্যাম্পিয়ানের পথে আরো এক ধাপ এগিয়ে গেলো,চ্যাম্পিয়ানের পথে আরো এক ধাপ এগিয়ে গেলো,2,0.798937013591604
After Election,141,চ্যাম্পিয়ন হওয়ার পথে!,চ্যাম্পিয়ন হওয়ার পথে,4,0.7322714933031995
After Election,142,এইবার ডাবল চ্যাম্পিয়ন হবে,এইবার ডাবল চ্যাম্পিয়ন হবে,0,0.2
After Election,143,লক্ষ্য এবার মহাবিশ্ব চ্যাম্পিয়ন,লক্ষ্য এবার মহাবিশ্ব চ্যাম্পিয়ন,4,0.7333214649611992
