Comment,Location 1,Location 2,Location 3,Sentiment,sentiment_confidence,sentiment_source,needs_review
ভোটের সময় এলাকায় এসে ভোট ভিক্ষা করে সংসদে গিয়ে পাগলামি করে,Tangail,,,Positive,0.3426415919681143,model,True
সিলিন্ডার গ্যাস আগে ছিল ১৩০০ টাকা বর্তমানে ২০০০ টাকা। গ্রামে প্রত্যেক লাইনের গাড়িতে পাঁচ টাকা করে বৃদ্ধি করা হয়েছে। …,Chittagong,,,Positive,0.4060415639597906,model,True
"তারা করলে কিছুই না, আমরা করলে দোষ।",Dhaka,Kushtia,,Negative,0.6015434195115068,model,False
"ধানের দাম কমিয়ে সার কিট নাশক দাম বাড়িয়ে দেন,…",Chandpur,Comilla,,Sarcastic_negative,0.5040143574135882,model,False
সব জিনিসের দাম বাড়ছে।,Dhaka,,,Sarcastic_negative,0.4606851030601675,model,True
বিদ্যুৎ কি গরীব মানুষ ব্যবহার করে না,Dhaka,,,Positive,0.5784943978073858,model,False
"আপনারাও অন্তবর্তীকালীন সরকারের দায়িত্বে ছিলেন আপনাদের নিয়ে আমেরিকার সাথে চুক্তি স্বাক্ষর করেছে, তাহলে এখন আপনারা নিজ ইচ্ছায় জেলে চলে যান শিলং",Comilla,,,Sarcastic_negative,0.5909826082379535,model,False
"গ্যাসে, তেল, বিদ্যুৎ, সার, কিটনাশক, মাছের খাদ্য, পশু প্রাণীর খাদ্য সহ সব কিছুর দাম বাড়িয়ে নিত্যপ্রয়োজনীয় জিনিষের দাম কমালেন তা…",Chittagong,,,Sarcastic_negative,0.318643166175527,model,True
Sala na ken,Chittagong,Brahmanbaria,,Neutral,0.5014186765654627,model,False
"জ্বি, ১০০০ তালি দিলাম, ধন্যবাদ আপনাকে",Habiganj,Sylhet,,Sarcastic_negative,0.4344241918089914,model,True
মাশাল্লাহ মাশাল্লাহ,Dhaka,,,Positive,0.3147729927392159,model,True
বর্তমান বাজারে কাঁচা মরিচের দাম কেজি প্রতি ২৮০ টাকা।,Dhaka,Kishoreganj,,Negative,0.6276552440742924,model,False
আপনি হচ্ছেন স্বরাষ্ট্রমন্ত্রী আপনি কেন ট্যাক্স এর বিষয়ে কথা বলবেন ট্যাক্সের বিষয়ে কথা বলবে অর্থমন্ত্রী বাণিজ্যমন্ত্রী,Tangail,,,Sarcastic_negative,0.4857757090254667,model,True
The man is super interesting,Dhaka,Khulna,Jessore,Sarcastic_negative,0.4032419605933676,model,True
সাপা বাজ,Sunamganj,,,Sarcastic_negative,0.4517813810891511,model,True
তাহলে দাম বারলো কেনো এত??,Dhaka,Shariatpur,,Sarcastic_negative,0.6420619043978676,model,False
বাংলাদেশের নতুন নাম দেয়া উচিত বিনোদন বাংলাদেশ,Comilla,,,Positive,0.5543413628661733,model,False
এটা অর্থমন্ত্রী বলবে।।,Chittagong,Comilla,,Sarcastic_negative,0.3810955526596291,model,True
"বিদ্যুৎ কি নিত্য প্রয়োজনিয় নয়,,,?",Chittagong,,,Sarcastic_negative,0.463551773324845,model,True
পোলাউর চাল১৯০ টাকা।,Dhaka,,,Sarcastic_negative,0.3585296786076195,model,True
দিল্লির সাহেব দিল্লিকে দেখে কিছুটা হলেও শিখুন আমাদেরকেও কর থেকে মুক্ত করুন যাদের জন্য কর বেশি করে ধার্য করার কথা সেখানে কি করল…,Dhaka,Narayanganj,,Positive,0.7320375378472345,model,False
কথা হাসির ছলে হলেও সত্যটা বলেদিছেন,Sylhet,,,Positive,0.625275247237772,model,False
গ্যাস ২০০০ অকটেন ১৪৫…,Chittagong,,,Sarcastic_negative,0.4399960037490641,model,True
রাতে সেবন বেশী হয়ে গেছে,Barisal,,,Sarcastic_negative,0.7681281152173882,model,False
"তৈল, গ্যাসের দাম বাড়লে নিত্য পণ্যের দাম এমনিতেই বেড়ে যায় , বাড়ানোর প্রয়োজন হয়না।",Bogra,,,Sarcastic_negative,0.5493223953878907,model,False
গরিব মানুষ সারা বছরই মারা খাবে।,Dhaka,Manikganj,,Sarcastic_negative,0.4990708575525607,model,True
এইটা শুধু সংসদের ভিতরে কমানো হয় নাই বাইরে অবস্থা তো আপনারা জানেন না,Chittagong,Cox's Bazar,,Sarcastic_negative,0.5924456035085031,model,False
electric bill,Dhaka,Gazipur,,Sarcastic_negative,0.4416641668622333,model,True
natok kom koro priyo tumi j cap line G maira diba eida jati janee,Dhaka,,,Sarcastic_negative,0.5833239652275448,model,False
স্বরাষ্ট্রমন্ত্রীর দায়িত্ব রাষ্ট্রের নিরাপত্তা ব্যবস্থা সচল রাখা অর্থনীতি বেশি আলোচনা নয় অর্থনীতির বিষয়ে কথা বলার জন্য অর্থমন্ত্রী আছে,Chittagong,,,Positive,0.6041742175884377,model,False
"বিএনপির গরিব ত্যাগী নেতাকর্মীদের অধিকার চাই, এদের অধিকার নিয়ে কেউ কথা বলেনা।",Comilla,,,Positive,0.6457984582121468,model,False
নাজির চাল আগে ছিল ৮০ টাকা কেজি এখন ৯০ টাকা কেজি,Dhaka,Barisal,,Positive,0.6271257072685911,model,False
মেইন জিনিসের উপর দাম বাড়াই দিসে। পণ্য গুলো নিজ থেকে হেটে বাজারে আসবে।,Chittagong,,,Sarcastic_negative,0.488691625897567,model,True
এজন্য এখন বাজারে যাওয়া যাচ্ছে না,Satkhira,,,Positive,0.3974519348926079,model,True
আরে ভাই দ্রব্যমূল্যের দাম বারে নাই তো ঠিক আছে কিন্তু তেল দাম বাড়িয়েছেন গাড়িতে গ্যাস চলে গ্যাসের দাম বাড়িয়েছেন দোকানের ব…,Chittagong,,,Negative,0.512505571298613,model,False
"নিত্য পন্যের দাম কমবে আর বিদ্যুৎবিল,সিলেন্ডারি সহ বিভিন্ন দিকে টেক্স বসিয়ে আবার গরীবের ঘারের উপরি চাপবে।",Dhaka,Comilla,,Negative,0.3689218421157773,model,True
"তেলের দাম বেড়েছে, গ্যাসের দাম বেড়েছে, বিদ্যুৎ এর দাম বেড়েছে। জিনিস পত্রের দাম এমনিতেই বেড়ে যাবে।",Dhaka,Sirajganj,,Sarcastic_negative,0.6550821012382053,model,False
"মাসুদাঅল,এড়ে কিনতে পুন পাড়ি যারগই",Cox's Bazar,,,Sarcastic_negative,0.4920839270574731,model,True
এটা বলবে অর্থমন্ত্রী,Dhaka,Faridpur,,Sarcastic_negative,0.3810955526596291,model,True
কৃষকের স্যারের দাম কেন বৃদ্ধি হল,Manikganj,Tangail,,Neutral,0.4285092610789782,model,True
"২৩০০ টাকা ডাবল টাইগার ময়দা ২৪৫০ ছিল, কোরবানি ঈদ পর্যন্ত। আর এখন ২৬৫০+",Chittagong,Lakshmipur,,Positive,0.5780377663813308,model,False
শুধু কীটনাশক ও সারের দামটা বাড়ায় দেন,Thakurgaon,,,Sarcastic_negative,0.3986097367377774,model,True
বাংলাদেশ হইলো আপনাদের বাপ দাদার সম্পদ আপনারা যেভাবে ভালো লাগে এভাবে করেন.,Comilla,,,Sarcastic_negative,0.5130610412898349,model,False
এস আলম মন্ত্রণালয়ের জোকার মন্ত্রী সে,Dhaka,,,Sarcastic_negative,0.5131961483020205,model,False
এখানে সবাই পাগল ছাগল গেছে গা,Dhaka,Rangpur,,Sarcastic_negative,0.4760251670169428,model,True
"স্যার, একটু কথা বলায় ট্যাক্স বসানো যায় না!!",Dhaka,Rangpur,Gaibandha,Positive,0.8242714603203608,model,False
Tumi 80 koti taka loan nen,Dhaka,Pabna,,Sarcastic_negative,0.6071640093443808,model,False
কার্টুন,Narayanganj,,,Sarcastic_negative,0.3773740468225082,model,True
জুকারসন জুকার,Chittagong,,,Negative,0.3231787012057957,model,True
"গরিব, আবেগ,অনুভূতি এগুলি নির্বাচনের সময় মায়াকান্না।",Chittagong,,,Sarcastic_negative,0.5820663994136241,model,False
ওবায়দুল কাদেরের ঠিক একটা ফটোকপি পাইছে এইবারের সংসদ ভবনে,Bogra,,,Sarcastic_negative,0.4480959034749433,model,True
এ চাপ্টার কি আপনার ? নিজের মন্ত্রনালয়ের খবর নাই।,Dhaka,Barisal,,Sarcastic_negative,0.7565300350947861,model,False
জোকার,Panchagarh,,,Sarcastic_negative,0.3867251333497808,model,True
বিদ্যুৎ কি নিত্য প্রোয়জন এর বাইরে নাকি???,Chittagong,,,Sarcastic_negative,0.6640625520341847,model,False
মাদারবোর্ড ভবন এগুলো,Dhaka,Rangpur,Kurigram,Sarcastic_negative,0.3626839925640263,model,True
Jukarer dol,Faridpur,,,Sarcastic_negative,0.4158346828136301,model,True
সর্ব বিষয়ক মন্ত্রী হিসেবে ভাষন দিচ্ছেন।,Dhaka,,,Sarcastic_negative,0.539967714886454,model,False
ভুয়া,Chittagong,,,Sarcastic_negative,0.4070844162607047,model,True
মাশাল্লাহ খুবই সুন্দর হয়েছে,Chittagong,,,Negative,0.4438416016677229,model,True
মন্ত্রী মহোদয় ঠিকই বলেছেন সংসদে গরীব মানুষ কম গরিব মানুষ দেখতে হলে জনগণ এর কাতারে আসতে হবে,Dhaka,,,Positive,0.3486192461623386,model,True
শুধু পেয়াজের দামটা একটু বাড়ান,Pabna,Dhaka,,Sarcastic_negative,0.4997281117035529,model,True
মঞ্চ নাকট চলছে।,Dhaka,Comilla,,Sarcastic_negative,0.4777829237028755,model,True
"তেল, বিদুৎ, গ্যাসের দাম বাড়াইয়া বালের গান গাইতে আসছেন",Dhaka,Tangail,,Negative,0.4959658964562358,model,True
কথায় না কাজে প্রমান চায় জনগণ,Khulna,Kushtia,,Positive,0.5094244174057145,model,False
বিদ্যুৎ বিল?,Dhaka,Khulna,Bagerhat,Sarcastic_negative,0.4090834448636819,model,True
বিদ্যুৎ তো আর নিত্য প্রয়োজনিও না,Magura,,,Positive,0.5547318048576587,model,False
বিদ্যুৎ কি শুধু ধনীরা ব্যবহার করে?,Sirajganj,,,Positive,0.5307703237383331,model,False
"সারা দেশের মানুষ বলছে মানে, আমি কখন আপনাকে কি বললাম। এতো মিথ্যাকথা আসে কিভাবে।",Rajshahi,,,Sarcastic_negative,0.5569449869980119,model,False
তাহলে স্যার পিঁয়াজ এর দাম বাড়লো কেন,Dhaka,,,Sarcastic_negative,0.7266915448480251,model,False
সালাউদ্দিন নিজে গরীব যার ব্যাংক লোন ৮৩ হাজার কোটি টাকা এরকম ব্যাংক লোন নিলে গরীব পাইব কই,Narsingdi,Dhaka,,Negative,0.3585294520203686,model,True
ফেসবুকে কমানো হয়েছে,Dhaka,,,Sarcastic_negative,0.4079574934717692,model,True
বিএনপি মানে বিনোদন,Dhaka,Narsingdi,,Negative,0.8421605155564904,model,False
দ্রব্য মুল্য কমবে কি?,Pabna,,,Negative,0.4278365746391765,model,True
নেতা হলেও জাওরা আছে,Noakhali,,,Negative,0.3637783819781349,model,True
মোবাইল কলরেট তো কমে নাই,Chittagong,Pirojpur,,Negative,0.5801701630667122,model,False
জালানি এবং কংক্রিট এর মালামালের দাম কমান,Magura,Jamalpur,,Sarcastic_negative,0.4484345670129108,model,True
সালাউদ্দিন তো দেশের প্রধানমন্ত্রী এজন্য সে সব বিষয় নিযে কথা বলে,Khulna,Jessore,,Positive,0.8616772978224688,model,False
mittha char korle khub mushkil,Dhaka,,,Sarcastic_negative,0.5398472100111894,model,False
পন্ডিত,Rajshahi,,,Sarcastic_negative,0.5329640628775081,model,False
সিগারেট কি নিত্যপ্রয়োজনীয় পণ্যের আওতায় আসবে না?,Dhaka,Barisal,,Sarcastic_negative,0.5193659504148729,model,False
বিদ্যুতের দাম এত কেনো,Dhaka,Pabna,,Sarcastic_negative,0.7426186720256821,model,False
বিদ্যুৎ বিলা কি করছেন,Dhaka,,,Negative,0.4970720378502509,model,True
আরে তুই আগে আইনের শাসন ঠিক কর শিলং?,Dhaka,Munshiganj,Kushtia,Positive,0.6145235315909566,model,False
বিশ্ব বেহায়া,Dhaka,Pabna,,Sarcastic_negative,0.4142591751199994,model,True
Nesakhor,Dhaka,,,Sarcastic_negative,0.5048061722950541,model,False
এই যুগের মীর জাফর,Dhaka,,,Negative,0.5623855351504523,model,False
আপনার কথাটা যদি বাস্তবে পরিণত হতো,Dhaka,Gazipur,,Negative,0.5258897363401794,model,False
সালা সাব ১২০০টাকার ২০০০ আরকি?,Manikganj,Dhaka,Narsingdi,Negative,0.4187576705651062,model,True
তাহলে কৃষকের কী হবে। যারা ফসল এর কী হবে,Rajshahi,,,Neutral,0.9905038708114609,model,False
সাউয়া মানে বিনোদন,Dhaka,Chittagong,,Negative,0.357408499186311,model,True
সয়াবিন তেল ২১০ টাকা লিটার,Dhaka,Mymensingh,,Sarcastic_negative,0.4545282727642248,model,True
"নিত্য প্রয়োজনীয় পন্যের প্রতি সরকারের ভরতুকি দেওয়া উচিৎ, কিন্তু বিনোদন দিয়ে লাভ নেই",Cox's Bazar,,,Negative,0.4322223802111565,model,True
স্যার চাউল দাম বেড়েছে,Chittagong,,,Sarcastic_negative,0.5695586727456085,model,False
উনার কথাবার্তা শুনলে আর নাটক দেখতে ইচ্ছে করবে না উনার কথা-বার্তা শুনতে মন চাইবে,Dhaka,,,Positive,0.7451876379680501,model,False
"শুধু সারের দাম বৃদ্ধি করা হবে। এবং ফসলের দাম কমানো হবে। কৃষক তো মাঠে মরছে, তাহলে দেশ কোন দিকে যাচ্ছে। কৃষক বাঁচলে,দেশ বাঁচবে।",Tangail,,,Neutral,0.9114632544290826,model,False
বিনোদন মন্ত্রী,Dhaka,,,Sarcastic_negative,0.4697993829402094,model,True
সালাউদ্দিন স্যারের কথায় সহমত পোষণ করছি,Naogaon,,,Positive,0.4511820561073268,model,True
কৃষি পন্যর দাম বাড়ানো দরকার,Narayanganj,Comilla,,Sarcastic_negative,0.3811514932664998,model,True
১৬০ টাকা রিটারের সবিন তেল ২২০ টাকা লিটার কেনা লাগে আর তুমি দাম বাড়ায় নাই,Dhaka,Rajshahi,Rangpur,Positive,0.4981075834407732,model,True
সার্কাসের ব্যান্ড পার্টি উপস্থিত থাকলে সংসদ ভবনে বোধহয় বক্তৃতা দিতে শালা উদ্দিনের আরো সুবিধা হতো,Dhaka,Naogaon,,Negative,0.426765535911091,model,True
কোন জিনেসের দাম কমছে এটাই খুজে পাচ্ছি না বাজারে,Rajshahi,,,Negative,0.6929759303573336,model,False
Aknae sbi moja korte ase,Dhaka,,,Sarcastic_negative,0.4892348541006242,model,True
বাজেট দেওয়ার আগের সাপ্তাহে বাড়িয়ে এখন নাটক,Chittagong,,,Positive,0.410297070899409,model,True
"ফলের উপর ১৩০% কর আছে এর মানে ১০০দাম হলে +১৩০ = ২৩০ টাকা, আহা",Sylhet,,,Sarcastic_negative,0.4231310543515919,model,True
পুষ্টি চাহিদা মেটাতে ফল আমদানির টেক্স জিরো করা হক।,Chittagong,Noakhali,,Negative,0.4799761168665185,model,True
"শালা জোকার, সংসদটাকে জোকার খানায় পরিনত করছে।",Dhaka,,,Negative,0.7729590436192593,model,False
"কি অবস্থা, কেমন যে গাজির গানের ফাটকিদার।",Dhaka,Narail,,Sarcastic_negative,0.79275430231456,model,False
এই স্বরাষ্ট্র মন্ত্রী পাগল হয়ে গেছে বাজেটের আগেই তো দাম বারানো হয়ে গেছে।। মরতে হবে তোমার সালাউদ্দীন সাহেব ইনশাআল্লাহ তোমার বি…,Dhaka,Faridpur,,Positive,0.4414889914064624,model,True
সিলিন্ডার গ্যাসের বোতল ২০০০ টাকা এটা কি প্রয়োজনীয় না,Cox's Bazar,,,Sarcastic_negative,0.320971045749542,model,True
সালেহ উদ্দিন আহমেদ এর পিছনে মহিউদ্দিন চৌধুরী বসে আছেন,Chittagong,,,Neutral,0.3826819895138236,model,True
রোহিঙ্গা উচ্চ বিদ্যালয়ের ছাএ তাই শিক্ষা টা ঠিক ভাবে নিতে পারে নি,Chittagong,Rangpur,,Negative,0.4466818946186155,model,True
"সরকার বলছে নিত্যপ্রয়োজনীও জিনিসের দাম বাড়বে না কিন্তু কোম্পানি গুলো জিনিসপত্রের দাম বাড়াচ্ছে, সরকার কি কোম্পানি গুলোর …",Chittagong,,,Negative,0.3485318949181216,model,True
মুনাফিকের কথা বিশ্বাস করা খুব কঠিন কারেন্ট বিলের কথা বলেছিল জুলাই সনদ সম্পর্কেও বলেছিল,Dhaka,Mymensingh,,Positive,0.8605232694913143,model,False
জোর করে হলেও ওনার হাত তালি লাগবে,Dhaka,Gazipur,Comilla,Sarcastic_negative,0.3423770304635969,model,True
শেষের কথাটা সেই হইছে,Sylhet,,,Positive,0.3912497115757433,model,True
"এখানেতো বানোয়াট কিছু নিয়ে হাসাহাসা করছে,,, মাঝে সাঝে বিনোদন দরকার পরে,,,,",Chittagong,,,Negative,0.6121727397047141,model,False
তেল এর দাম কি বারবে নাহ কুমবে,Pabna,,,Sarcastic_negative,0.6941621791554841,model,False
বাংলাদেশের যে জিনিসের দাম বাড়ে ওই জিনিসের দাম কখনো কমে না শ্রমিকের পরিশ্রমের ন্যায্য মূল্য দিলেই সব ঠিক হয়ে যাবে,Narayanganj,,,Sarcastic_negative,0.3638763766303752,model,True
বাজারে গিয়ে কোনটার দাম কত ছিল ৩ মাস আগে আর এখন কত হয়েছে তাহলেই জানতে পারবেন দাম কমছে না বাড়ছে।,Narayanganj,,,Negative,0.4784413943460109,model,True
জোকার,Dhaka,Narayanganj,,Sarcastic_negative,0.3867251333497808,model,True
Nije rai barayte chay abr nijerai komay,Rangpur,,,Sarcastic_negative,0.6430207995685595,model,False
সব জান্তা সালাউদ্দিন বেতন বাড়লে এমনি তে বাড়বে. দেশের মানুষ কে বকা মনে করেন আপ্নারা....,Dhaka,Gazipur,,Sarcastic_negative,0.3467257348763564,model,True
"তেল, বিদ্যুৎ এবং গ্যাসের মূল্যবৃদ্ধির পরিপ্রেক্ষিতে নিত্যপ্রয়োজনীয় পণ্যের মূল্যহ্রাসের প্রত্যাশা করা অযৌক্তিক। এই ধরনের মন্ত…",Dhaka,Gopalganj,,Negative,0.4779058811510759,model,True
বেগুন ৯০ টাকা কেজি,Dinajpur,,,Sarcastic_negative,0.3763369335651927,model,True
Mr. Salauddin Ahmed's sense of humour is amazing.,Khulna,,,Sarcastic_negative,0.3805810571178411,model,True
"শুধুমাত্র নিত্য প্রয়োজনীয় নয়, সর্বপ্রয়োজনীয় জিনিসপত্রের দামও যদি কমিয়ে দেওয়া হয় সেটি জামাতে ইসলামের ইসলাম শরিয়া মোতাবেক হবে না।",Rajshahi,Chittagong,,Negative,0.3373691189338202,model,True
"বাজারে গিয়ে দেখ কি অবস্থা,, এখানে জনগনের টাকা খরচ করে গাল মারেন!!",Chittagong,Bandarban,Comilla,Positive,0.4815058416362248,model,True
প্রধানমন্ত্রী সালাউদ্দিনের আহমেদের জন্যই বিএনপি দলের এক পতন হবে,Dhaka,Sirajganj,,Neutral,0.3475525392599839,model,True
জনগণের টাকা খরচ করে সংসদকে হাস্যরসে পরিনত করছে স্বরাষ্ট্রমন্ত্রী,Cox's Bazar,,,Positive,0.4053975940764597,model,True
ভন্ডামি মুখুশ খোলার জন্য সালা উদ্দিন আহমেদ সেরা,Chittagong,Bandarban,,Sarcastic_negative,0.2705108826717767,model,True
গ্যাস এবং বিদ্যুৎ দাম বাড়ানো হয়েছে এই তিনটি ইফেক্ট ফেলায়।,Dhaka,Rangpur,,Negative,0.5789781135965572,model,False
জিনিসের দাম কেন বৃদ্ধি পেল?,Comilla,,,Sarcastic_negative,0.5625447207691339,model,False
সিগারেট ও তো নিত্য প্রয়োজনীয় দ্রব্য ট্যাক্স গুলো কমিয়ে,Dhaka,Jamalpur,,Sarcastic_negative,0.4357528634549511,model,True
ভুয়া,Cox's Bazar,,,Sarcastic_negative,0.4070844162607047,model,True
বিচার বিভাগ আইন শৃঙ্খলা ভালো করেন আগে,Dhaka,Chittagong,Bandarban,Positive,0.2838461779519133,model,True
ভর্তি চলছে – NSDA বোর্ডকৃত Primary Health Care প্রশিক্ষণ কোর্সে। টে…,Dhaka,Mymensingh,Sherpur,Sarcastic_negative,0.4988118444472106,model,True
কৃষক মেরে শেষ করে দিচ্ছে বড় বড় বুলি,Dhaka,Rajshahi,,Positive,0.4010837667716441,model,True
Perpeiad miter bad diye postpeiad miter lagaite hobe sobar age,Dhaka,Rangpur,,Sarcastic_negative,0.6125259052189665,model,False
তাহলে কৃষকের গুয়া কেমনে মারবা তার উপায় তো বের করতে হবে যেনো …,Dhaka,Faridpur,,Neutral,0.6775517668568698,model,False
এই শালার পুতে মনে হয় কারেন বিল দেয়না তাই জানেনা,Comilla,Pirojpur,Chittagong,Negative,0.5040446391940322,model,False
শুধু দাম বাড়বে,Sirajganj,,,Sarcastic_negative,0.465837590436349,model,True
Achuda....ak montree,Comilla,,,Sarcastic_negative,0.4851559805356071,model,True
সবার তো ঘুষের টাকা না,Bogra,,,Sarcastic_negative,0.3320195735719335,model,True
সয়াবিন তেলের দাম মূল্য থেকে আরও বেশি,Dhaka,,,Sarcastic_negative,0.3778307110182486,model,True
"কথা না বলে কাজ করুন আমাদের মতো সাধারণ মানুষের জন্য,,, আমরা দ্রব্যমূল্যে জন্য সমস্যা এর মধ্যে আছি বাংলাদেশের জনগন,,,,আলু,৩০,,প…",Dhaka,,,Positive,0.8813144040620651,model,False
"তেলের দাম কমানুর হেডম দেখান,পারলে",Dhaka,Chittagong,,Negative,0.5401232329488942,model,False
"এ ভাই এই ধারাবাহিক কৌতুক থুরি এই ধারাবাহিক উপন্যাস কোন শেষ হবে,, কিছু তো হচ্ছে না শুধু আমাদের অর্থনীতির ১২ টা বাজাই ফেলতেছে,,",Dhaka,Rangpur,Kurigram,Negative,0.5938592298718895,model,False
আগেছিল কাদের আর এখন সালাউদ্দিন । বিনোদন আর বিনোদন।,Dhaka,,,Positive,0.6842004556407707,model,False
বিদ্যুৎ তাহলে কি,Dhaka,Rangpur,Kurigram,Sarcastic_negative,0.5743180843116973,model,False
